@relation relation name
@attribute f0 real
@attribute f1 real
@attribute f2 real
@attribute class real
@data
0.08576122117052992,0.4649879735016914,0.6310710359689446,0.0
0.085679718035376,0.4658054294737279,0.6312087337086362,0.0
0.08401343171667337,0.4678619766033775,0.6320440999960986,0.0
0.08459300956665688,0.4679308150010228,0.6323653947220457,0.0
0.08596950696036774,0.4672252214251597,0.6321450783385392,0.0
0.08724638941111268,0.4657279862763771,0.6326316103521161,0.0
0.08476507174087074,0.4678619766033775,0.6322001574344157,0.0
0.08576122117052992,0.4665626518478248,0.6310710359689446,0.0
0.08570688574709395,0.46766406621014767,0.6327693080918078,0.0
0.08597856286427374,0.4665712566475305,0.6321726178864775,0.0
0.08558915899631606,0.46659707104664744,0.6326775095986801,0.0
0.08497335753070857,0.4671133590289863,0.6341095660914727,0.0
0.08539898501429022,0.4662098550598934,0.6312729926538256,0.0
0.0860238423838037,0.4673026646225105,0.6327417685438694,0.0
0.08541709682210219,0.4668380054384056,0.6331273222150059,0.0
0.08511825199320444,0.4681115157948413,0.6317870642153409,0.0
0.08509108428148647,0.4664766038507684,0.6321817977357903,0.0
0.0855529353806921,0.46651102304959097,0.6319431216536582,0.0
0.08549859995725613,0.4688171093707044,0.6302632092294206,0.0
0.08349724519403179,0.4657193814766714,0.6322276969823541,0.0
0.08519975512835838,0.46713917342810324,0.6326683297493672,0.0
0.0833795184432539,0.46650241824988536,0.6310434964210063,0.0
0.08551671176506813,0.46646799905106273,0.6326591499000545,0.0
0.08558010309241007,0.4671994070260428,0.631869682859156,0.0
0.08548954405335014,0.4658312438728449,0.6325030924617373,0.0
0.08554387947678609,0.4656849622778489,0.6314290500921428,0.0
0.0834881892901258,0.46627869345753853,0.633283379653323,0.0
0.0849371339150846,0.46650241824988536,0.6312454531058873,0.0
0.08641324625176137,0.46830942618807125,0.632190977585103,0.0
0.08740033977751456,0.4664766038507684,0.6318054239139665,0.0
0.08476507174087074,0.4659517110687239,0.632594890954865,0.0
0.08373269869558761,0.4658226390731392,0.632475552913799,0.0
0.08686604144706099,0.46787058140308324,0.6335954945299573,0.0
0.08415832617916925,0.46775871900690974,0.6322827760782307,0.0
0.08353346880965576,0.4651858838949214,0.6330906028177548,0.0
0.08486468668383666,0.4673801078198613,0.6317503448180899,0.0
