@relation relation name
@attribute f0 real
@attribute f1 real
@attribute f2 real
@attribute f3 real
@attribute f4 real
@attribute f5 real
@attribute f6 real
@attribute f7 real
@attribute f8 real
@attribute f9 real
@attribute f10 real
@attribute f11 real
@attribute f12 real
@attribute f13 real
@attribute f14 real
@attribute f15 real
@attribute f16 real
@attribute f17 real
@attribute f18 real
@attribute f19 real
@attribute class real
@data
0.6149211768249824,0.6332117436558046,0.3324055025573215,0.27562597756354107,0.8028392485893866,0.5425209386295339,0.5705279304518717,0.3867924528301887,0.5758717302757046,0.18363642816221615,0.6958795139769142,0.06229303829521993,0.25727073388617683,0.6195203863914724,0.7507973491720937,0.41215359344025604,0.36170437566420344,0.45504333436865535,0.682708335739391,0.6553637236727493,0.0
0.6122177852271234,0.642625439601839,0.3267922228105556,0.2818248870944992,0.7883475989380222,0.5323515633034093,0.586889217677316,0.4022341320047465,0.5951875309019848,0.1578306961463778,0.6966675876684507,0.043668504003595496,0.2647422419938459,0.6421637576224462,0.7461851377933959,0.3844931852706879,0.35651841631895503,0.43860979063682826,0.681678542968344,0.6668527907444219,0.0
0.601491113565619,0.6375212906579117,0.32821000996308924,0.2847177115422797,0.7939770474564369,0.5356937456437367,0.5787226382083406,0.3903581840899626,0.5849504391024887,0.17416587660905586,0.7017378449127942,0.06510557956878803,0.2604740978695374,0.634763114502231,0.7530604839479765,0.39051554908709074,0.3503815510156644,0.44505861852945666,0.6782523165525232,0.657686552163134,0.0
0.5983629032880966,0.641101673525172,0.32419776876952466,0.28482551866455724,0.7967360346016004,0.5403689921653914,0.575319115421615,0.39358011206022653,0.587615661714501,0.1820140638704542,0.6974746510874941,0.06299617361361196,0.25972514234666716,0.6326251509341689,0.7468249269494471,0.3903225246057957,0.34921933262250177,0.4404698607228653,0.6766065729651487,0.6517901413798495,0.0
0.6061930839518951,0.6363994996812244,0.3407193292612942,0.27312844589744484,0.7950360526232673,0.522724935536825,0.6003814195784133,0.3853583019653761,0.5923151178395688,0.17844486242857793,0.6836596243262206,0.05122910904203515,0.2613493832396387,0.6418867744881223,0.744580890357327,0.3778241894419469,0.3630162736989097,0.44596233182597467,0.6790607519989528,0.6531034328724902,0.0
0.5959395058200159,0.6537779115617387,0.32291500896485137,0.28660433618213654,0.7854957166027857,0.5607077428176407,0.601825338336418,0.41316707661116053,0.5856944411743932,0.1676966989956551,0.69768353809007,0.062872649841462,0.25918372871567663,0.6359835714378455,0.7491071599090926,0.3801501344415512,0.35789194714723815,0.4470239756014957,0.6637197269798006,0.641596497889353,0.0
0.6033738327141279,0.6387459124741287,0.32876940897565354,0.28611920413188763,0.7972562476660083,0.5363697996214097,0.5816761083951687,0.39290232843233563,0.5850634520754362,0.17629522974199335,0.6971613205836302,0.06811765924352144,0.26004999052526145,0.6318721030377259,0.7500716181891103,0.3883922797928461,0.3497300043407096,0.44340912241542385,0.6799365570659182,0.6582672592857303,0.0
0.6015393884155809,0.6357264250952119,0.3309394913519806,0.2850680846896817,0.7955005285736316,0.5337988901288502,0.5810291577828159,0.39475886619568895,0.5848939326160149,0.17606201487505263,0.6961168855707505,0.06987549753950148,0.25488851390981854,0.634763114502231,0.7474742651973797,0.3922431181946806,0.3545549716092939,0.4417684002168912,0.6788105219798197,0.6626091617716034,0.0
0.6163501123838507,0.6480380810643552,0.30896861289298977,0.3127385794075819,0.7798941366413931,0.5406356050016569,0.58707673959394,0.4075188797120697,0.606733689638123,0.15475834376885367,0.7124765358179491,0.031140342959002462,0.26032069734075675,0.631006530742964,0.7557151314909952,0.37668534500230666,0.36534951517003167,0.4438829138524333,0.6785795404236971,0.649261831907623,0.0
0.5993090903473471,0.6429806734111233,0.3301968409387487,0.2852477632268109,0.7963180062462727,0.5326562636877126,0.5806541139495679,0.39372745632715933,0.5849033503637605,0.17946897988775268,0.6986804987841827,0.06808915375764067,0.26123207695292405,0.6374896672307313,0.751990985657264,0.390235663589213,0.3538329874559656,0.44556750562846675,0.6752880532489479,0.6551135729122463,0.0
