@relation relation name
@attribute f0 real
@attribute f1 real
@attribute f2 real
@attribute f3 real
@attribute class real
@data
0.5283298453072633,0.6209129162126221,0.32007176820106076,0.6278401523190665,0.0
0.5284761960514569,0.6203944412203992,0.31994312061311725,0.6285388636333863,0.0
0.5303604618829486,0.620576362270302,0.3223273892430033,0.6284951941762412,0.0
0.5279731153682916,0.6190846096610993,0.32035479289453644,0.628931888747691,0.0
0.5283206983857512,0.6204035372728944,0.3202861808476333,0.6282506452162293,0.0
0.528110319190973,0.6206127464802825,0.31972870796654473,0.6286174686562471,0.0
0.5289792767346221,0.6209311083176124,0.3200460386834721,0.6284340569362383,0.0
0.5287323098537955,0.620048791225584,0.3203719459062622,0.6285301297419572,0.0
0.5290250113421826,0.62011246359305,0.32050059349420573,0.629045429336268,0.0
0.528677428324723,0.6201033675405548,0.320140380247964,0.6283379841305193,0.0
0.5281926414845819,0.6199760228056229,0.31877671581576295,0.6275781355761967,0.0
0.5313025947986945,0.6209220122651172,0.3200974977186495,0.6291327682505579,0.0
0.5270767170601062,0.6198395820181958,0.31885390436852906,0.6288882192905461,0.0
0.5296104143189568,0.6192392425535167,0.3190082814740612,0.6301109640906054,0.0
0.5277810300165376,0.620121559645545,0.3183821965460696,0.626879424261877,0.0
0.5283755799148238,0.6190482254511188,0.32133251456290696,0.6277615472962056,0.0
0.5285768121880899,0.620048791225584,0.32026902783590744,0.6284515247190962,0.0
0.5296835896910536,0.621495063572311,0.3210237603518426,0.6275169983361938,0.0
0.5290158644206705,0.619985118858118,0.3202432983183187,0.6284340569362383,0.0
0.5301500826881704,0.6205672662178069,0.32143543263326174,0.6284602586105252,0.0
0.528393873757848,0.6191482820285653,0.3208951127638991,0.6272025782447499,0.0
0.5297567650631503,0.6212494701549423,0.319968850130706,0.6275169983361938,0.0
0.5287414567753077,0.619985118858118,0.32017468627141554,0.6283729196962353,0.0
0.5283664329933118,0.6199487346481375,0.3206035115645605,0.6280322979305045,0.0
0.529070745949743,0.6210038767375735,0.3202004157890042,0.6291502360334159,0.0
0.5294274758887147,0.618265964936537,0.3189825519564725,0.6267047464332971,0.0
0.5284304614438964,0.6192665307110021,0.3198573555544883,0.6286262025476762,0.0
