@relation relation name
@attribute f0 real
@attribute f1 real
@attribute f2 real
@attribute f3 real
@attribute f4 real
@attribute f5 real
@attribute f6 real
@attribute f7 real
@attribute f8 real
@attribute f9 real
@attribute f10 real
@attribute f11 real
@attribute f12 real
@attribute f13 real
@attribute class real
@data
0.06236035161599744,0.4670112022499756,0.2949879425988641,0.11693984471984348,0.24326059279604043,0.5815533954795408,0.6850760800314784,0.15383338575774053,0.10141930452931304,0.2526012256129035,0.5223438911108244,0.7705614928165104,0.6542765189573836,0.1310060808973708,0.0
0.055727451197958806,0.468318952121017,0.29557269361023625,0.11832852904664717,0.2448073126770234,0.5786848365673974,0.6837265062426551,0.15323730649203682,0.09989029345545032,0.25626486899758216,0.5226503031866855,0.7710406476640241,0.6522353471135895,0.12676532078983924,0.0
0.053692244754682476,0.46598599093131976,0.29367842977057995,0.11807604098722832,0.2526481990100993,0.578534325760279,0.6805716584246267,0.15046783051907497,0.10312988566819693,0.25048221153659567,0.5225051606244355,0.7689323663349636,0.6515226965991614,0.12982757644735657,0.0
0.057510515438617786,0.462539020592217,0.29284660086707864,0.11942264397079555,0.23681443652905335,0.5790743939505281,0.6859787170460809,0.15832690637612234,0.10172510674408557,0.25899707762344426,0.5208602115856017,0.7810837332679126,0.6437539261764453,0.12412064544925608,0.0
0.05587200177665803,0.4615541719239019,0.2983152582128691,0.11608980158646665,0.24468214459416934,0.5785874472216148,0.6838404313027506,0.15188007985628071,0.09638312430477777,0.2430540193350332,0.512804799380725,0.7686544565234056,0.6540565650949057,0.12451038707839465,0.0
0.05611593087821293,0.467753875016246,0.29799405695310127,0.12008752919393187,0.24644343833147367,0.5776224073406777,0.682709944167957,0.15405347656353885,0.09950804068698467,0.2542700462224499,0.5218358921429492,0.7716347996749413,0.6513995224361738,0.12927080269144434,0.0
0.05792363442205928,0.46734217598277006,0.296824554930357,0.11771414143539463,0.24462850113008897,0.5785785936447255,0.6834811291901418,0.15386089710846534,0.09871486619241839,0.25279527452099027,0.520819894207199,0.7710981462457258,0.6523057323495823,0.12807373911623302,0.0
0.057315043633331356,0.46910198753762816,0.301782584632414,0.12243566814652723,0.24476260979028983,0.5803404554457025,0.6849709184375441,0.14779922949877067,0.09270394140829563,0.25318337233716387,0.517449361372726,0.7745672273417255,0.6497454693903407,0.13474574462458136,0.0
0.06256485783245257,0.46461366081973315,0.2957950637131524,0.12066825173059526,0.24120426000629416,0.579791533678564,0.6827625249649242,0.14745075238959005,0.09895377417270944,0.25079268978953456,0.5153851115985033,0.7658370260200248,0.6524904935940637,0.1324444131001441,0.0
0.06204825377562416,0.46770543983583707,0.2998306692845942,0.11856418456877144,0.24831201899693875,0.5732930082417949,0.6861014055723376,0.16037191677999812,0.09923090742984704,0.25020278110895067,0.5215617339698103,0.769469019764179,0.6507396608487404,0.12491868783273033,0.0
0.05670234629407222,0.4668820417688851,0.296824554930357,0.11563532307951271,0.2430281377850256,0.5775869930331204,0.6859436631814362,0.15565830535581804,0.09781657218652402,0.25435542774200814,0.52011030834731,0.7712514757969302,0.6515138984446622,0.1257352893414016,0.0
0.06056661034395728,0.46840774995176665,0.2988588295755531,0.11550066278115598,0.2421609017823935,0.576745903228634,0.6808345624094624,0.15313643153937928,0.0999285187322969,0.25261674952555047,0.5225374145271577,0.7746726414081785,0.6500446066433105,0.12726641717016024,0.0
0.0601157110956285,0.4649042719021868,0.2947573365662103,0.11773097397268922,0.24807062340857725,0.5754001595414556,0.6810098317326863,0.15010101250941116,0.09880087306532316,0.24933344200072188,0.5206183073151851,0.7691911099526211,0.6482321868164935,0.12667252516385386,0.0
0.05784643127207219,0.4673098858624974,0.29655276924901497,0.1175878974056852,0.24484307498641036,0.5783484006456029,0.683630108114882,0.153732510805083,0.09883909834216974,0.2528185603899607,0.520892465488324,0.7709927321792728,0.6524553009760673,0.12818509386741547,0.0
