@relation relation name
@attribute f0 real
@attribute f1 real
@attribute f2 real
@attribute f3 real
@attribute f4 real
@attribute f5 real
@attribute f6 real
@attribute f7 real
@attribute f8 real
@attribute f9 real
@attribute f10 real
@attribute f11 real
@attribute f12 real
@attribute f13 real
@attribute f14 real
@attribute f15 real
@attribute f16 real
@attribute f17 real
@attribute f18 real
@attribute class real
@data
0.27358754192858625,0.12199987305847469,0.5030062092242898,0.21958979849304897,0.20973220416571298,0.49355002162522094,0.10667438465797555,0.10857840378838379,0.21052321838747443,0.6060574764606846,0.11763504683075585,0.8473245410380267,0.6258419407852721,0.28242799488387904,0.5384725652069093,0.3288524464685509,0.12997454564344607,0.4719235081215736,0.06727564828089237,0.0
0.2557717673381916,0.13657094671176112,0.5011267134408549,0.23247856654320417,0.20427557793545437,0.5011164081240537,0.11741329843459003,0.120698461618374,0.22304482336207357,0.598915788489119,0.12078562093537046,0.8440969812415413,0.6286945340906188,0.2576072101067742,0.5401406110521068,0.33120610803880673,0.13832105142076867,0.4712882880106945,0.0673589627505722,0.0
0.26452705699235773,0.11452845756979517,0.4888952304104387,0.23031475876836058,0.21811856260013734,0.4990075829837339,0.1000268451871613,0.11235293608400931,0.21264184135497707,0.6079476367150964,0.11431916482559043,0.8366419121410701,0.6238834438890639,0.26833236082874923,0.5392674933050112,0.3212078302301996,0.1301496834902895,0.46541961265794585,0.061381542543826564,0.0
0.2761912391786814,0.1258806568317209,0.5055056434074964,0.21132028964919028,0.21094987411306937,0.49874397984119384,0.10535561483867723,0.10105531074962557,0.2141357421653957,0.6123807445282784,0.12223449606372719,0.8468790189802297,0.6275279511567905,0.28122981728278645,0.534484893108234,0.32934040069653076,0.12361986181920728,0.4739713819118704,0.06541207651097865,0.0
0.2727005681400923,0.12101154261154985,0.5065585546579023,0.21871486752322092,0.2094575417715725,0.49566860984489397,0.10967097867485447,0.1077992572135987,0.21420817371984022,0.6065056587890504,0.11727525904720418,0.8448692194750562,0.6267360371944106,0.2811713695949283,0.5375342894189857,0.3294073748062535,0.12998493517673337,0.4706435870026381,0.06705007042430644,0.0
0.36660534148967727,0.03063733712948942,0.6006809482105429,0.47860699700171494,0.26338292515449757,0.2904974972346078,0.09822570091105856,0.48700989516149973,0.6120656483393709,0.48573026438860145,0.27394825279273116,0.2935505236864277,0.5400597767313539,0.8095482091141376,0.35183387305910485,0.21449893798197445,0.12377867325659922,0.2539482011182718,0.6000984053924897,1.0
0.3908302170033829,0.02637754223072529,0.6004251006169864,0.4921354995244326,0.2509773403524834,0.26880393491150256,0.11842502642573113,0.4837201651790738,0.6117215984557592,0.5006274552597119,0.30173942807356,0.2952534079962299,0.536440815075317,0.7972839359452306,0.34274432636359486,0.2074475210011673,0.13493257935006048,0.23863655217693253,0.5829246208405644,1.0
0.38988601909950227,0.015329095904322361,0.6222902295740138,0.4716357728227625,0.25170061799038684,0.2866508439693947,0.10262495595711482,0.47863839807464226,0.633097960961203,0.485457457753944,0.2705934748109655,0.3167869741230888,0.5256946277578617,0.8275306144118361,0.3665921693066533,0.21403011921391535,0.1364368353481607,0.2732039032853679,0.6010966070575215,1.0
0.38831235592636787,0.011049353051583596,0.6310382492152368,0.4939135850437605,0.27571526665140766,0.2676030761510427,0.1128991124309995,0.4969223710295989,0.6366833229062075,0.48681174783313585,0.2906054547717585,0.2855410271362535,0.5201767756328926,0.8236828082945062,0.3469144409765887,0.23024742149677568,0.12361837760016624,0.2529147833259462,0.5960112804648005,1.0
0.36785473467562035,0.03656006600959315,0.5951408637808371,0.4949860810712917,0.25099565117875944,0.29261608545428097,0.09813677622858678,0.48024863432919807,0.6142295410284014,0.5021766072208019,0.26785130846065286,0.2893725168333084,0.5392167715455947,0.8073564208194561,0.3655691880656532,0.2132264298972426,0.1216681137802317,0.2507341769751672,0.5830896778087981,1.0
