@relation relation name
@attribute f0 real
@attribute f1 real
@attribute f2 real
@attribute class real
@data
0.379913973402786,0.7843706316755605,0.4127374116539705,1.0
0.6747642160924984,0.08793442379106754,0.0778750252018014,5.0
0.2879049761256462,0.2124972744190921,0.2853743087021563,0.0
0.37917209265616986,0.7845650141899236,0.41226070411839966,1.0
0.07368927824474172,0.14369431574819522,0.49712286454544413,2.0
0.28889941202004654,0.2123366975594008,0.2840263770498527,0.0
0.24862475829683126,0.2587265071828565,0.4112744126654946,4.0
0.6725227891559133,0.08824459067268184,0.0799297990620204,5.0
0.28873367270431316,0.212995907825502,0.28539074689303806,0.0
0.24628862317982717,0.2556586440213855,0.4104114076442026,4.0
0.2895781539797167,0.2124043088687445,0.2850455448845213,0.0
0.28902568959393865,0.21471154480009874,0.2836647368504541,0.0
0.07152282861765519,0.14203783866927422,0.49814203238011273,2.0
0.07555502939899768,0.1422322211836374,0.49919407659654497,2.0
0.6729016218775897,0.08940581491066013,0.07830241816472694,5.0
0.28968864685687223,0.21190567546233463,0.2824318725343227,0.0
0.2477329229312182,0.2565967509385295,0.41300864180351937,4.0
0.2891203977743578,0.21222682918171726,0.283870214236476,0.0
0.24798547807900242,0.2557093525033933,0.4095977171955558,4.0
0.2888362732331005,0.21188032122133074,0.2837222705185402,0.0
0.28799968430606526,0.21350299264557987,0.28479075292585415,0.0
0.24673059468844957,0.25720525272262296,0.41117578352020406,4.0
0.24768556884100865,0.25639391701049835,0.41215385587766834,4.0
0.07440511424174263,0.14295904275908233,0.4978050494670368,2.0
0.41921786827670576,0.23054104260019578,0.027130329949833103,3.0
0.07904976125646188,0.1422322211836374,0.4938927600371798,2.0
0.41891795903871193,0.22969590123339934,0.026323214777539086,3.0
0.4864133222840456,0.5310733126330042,0.11889653054721341,6.0
0.246927903397656,0.256478431147178,0.4114141372879895,4.0
0.6728858371808533,0.09189475623587559,0.0787955638911795,5.0
0.4204017205319443,0.23057484825486763,0.026438282113711346,3.0
0.28997277139812955,0.21181270991198703,0.2841907589586702,0.0
0.24794601633716112,0.25799123419374365,0.4106168850302245,4.0
0.41966773213369635,0.23028750019015684,0.026685676886481713,3.0
0.24577562053589047,0.2561319231867915,0.41309083275792813,4.0
0.24651750128250663,0.2561065689457876,0.4109209915615369,4.0
